toi,tid,tfopwg_disp,pl_orbper,pl_trandurh,pl_trandep,st_tmag,st_dist,st_teff,st_logg,st_rad
7061.01,244089109,KP,2.1376682,1.879,8819.0,9.13055,149.216,5806.0,4.05,1.6
7065.01,383723559,FP,2.6667526,2.594,190.0,9.58671,280.342,6173.0,3.83,2.18
7066.01,405010127,KP,13.2341261,2.3705157,18389.5092472,13.8215,338.386,5025.0,4.88331,0.548929
7067.01,139158696,KP,15.3573522,3.5894467,21072.3970721,14.5293,872.343,5462.0,4.49258,0.915391
7068.01,137685450,KP,,20.5949466,4156.2818203,11.4605,397.292,6181.58,4.23853,1.36797
708.01,391821647,FP,1.996071,5.910879,352.76672,10.8623,214.756,6636.0,4.60452,0.975121
7104.01,371579161,FP,2.2215349,2.869,3539.0,12.0545,892.821,,,
7114.01,365712006,FP,3.0436916,2.414,8182.0,13.0267,593.943,,,
712.01,150151262,CP,9.531366,1.673,916.0,9.9059,58.6212,4504.0,4.58833,0.72
712.02,150151262,CP,51.6991421,4.371,1339.0,9.9059,58.6212,4504.0,4.58833,0.72
712.03,150151262,FA,53.746482,5.592988,1557.541816,9.9059,58.6212,4504.0,4.58833,0.842645
712.04,150151262,CP,84.83869,5.194,1020.0,9.9059,58.6212,4504.0,4.58833,0.72
7121.01,469436001,FP,0.9739887,1.594,2904.0,13.149,1387.55,7357.0,4.08,1.95
7137.01,161687209,FP,1.2529962,1.083,14080.0,12.8161,196.593,4220.0,4.51,0.75
715.01,271971130,CP,19.2879579,2.1841643,4773.5508832,13.5308,42.4048,3075.0,4.438,0.229824
716.01,119081096,FP,0.83707,2.497,2745.5,12.4268,88.8248,3776.0,4.72,0.52
7164.01,326470400,FP,736.5528811,4.735,1432.0,9.8447,108.2,5659.0,4.57,0.86
7168.01,427685831,KP,1.7497746,1.8691036,29973.7051609,11.3819,174.818,5087.0,4.50322,0.856841
717.01,275248683,FP,0.53079,1.238,1113.07,11.4407,34.7229,3788.4,4.87,
7173.01,268727719,FP,0.6257352,0.8361985,13403.1636987,13.3892,161.939,3718.0,4.6571,0.593043
719.01,184952758,FP,4.109953,4.641,434.0,9.0349,84.7306,5653.0,4.46,0.97
7193.01,325086150,FP,5.4934218,3.658,18470.0,11.9742,421.48,6028.0,4.29,1.25
720.01,131419878,FP,3.16043,1.922,203.33,8.8154,151.634,6482.3,4.21,1.52
7220.01,344416349,FP,7.8365317,2.271,4532.0,11.86,747.966,6167.0,3.82,2.21
7247.01,51318828,FP,6.8782937,4.407,11342.0,11.3321,322.258,5657.0,4.18,1.35
7275.01,172376068,FP,6.1211661,2.501,4248.0,12.585,633.994,6011.2,,1.02
728.01,96097215,FA,1.60245,0.312,890.0,10.5656,172.097,5648.0,,0.98
730.01,11561667,CP,3.0876297,2.2386246,40411.8142459,14.9181,436.176,4105.0,4.438,0.69386
7302.01,399613138,FP,8.1958135,1.182,8230.0,12.1245,638.253,6496.0,4.24,1.45
731.01,34068865,CP,0.3219233,0.199,204.0,8.031941,9.41263,3518.0,4.82492,0.46
732.01,36724087,CP,0.7683904,1.0241242,903.9933214,10.5848,21.9814,3329.0,4.94957,0.374139
732.02,36724087,CP,12.2534308,1.369949,3729.6347091,10.5848,21.9814,3329.0,4.94957,0.374139
733.01,106402532,CP,4.8847937,2.51,478.0,8.8411,75.2092,5969.0,4.5172,0.94
7332.01,273069412,FP,3.5399394,3.443,6448.0,12.3711,459.296,5234.6,,1.13
7335.01,75417968,FP,3.3815776,3.38,9454.0,11.599,640.585,6662.0,4.09,1.78
734.01,146846569,FP,4.7535388,1.0905965,225793.1060958,15.173,,3010.0,5.10976,0.20128
7345.01,243283955,FP,8.407133,1.272,1490.0,11.9125,488.546,6126.0,4.25,1.33
735.01,150271680,FP,2.593694,3.054429,526.784827,9.5215,121.755,5316.6,3.88,1.28725
7350.01,257052211,FP,2.2175244,2.462,1682.0,10.5702,466.499,7406.0,4.1,1.92
736.01,181804752,CP,4.9899176,1.3819654,18931.4105812,13.5571,26.4927,2940.0,5.14315,0.17143
736.02,181804752,CP,0.9479945,0.564663,4200.52889,13.5571,26.4927,2940.0,5.14315,0.17143
737.01,219189765,CP,1.7318529,1.6919639,36359.4301748,14.7599,299.389,3394.0,4.9186,0.615219
7373.01,10552342,FP,7.5414411,2.454,16900.0,12.5058,397.801,5649.1,4.47,0.96
7383.01,11755687,KP,3.0522686,2.2564388,15853.2048135,12.4821,363.66,5370.0,4.43994,0.962287
7396.01,273690178,KP,14.8589888,2.8916037,4164.2633575,12.9879,433.047,5359.0,4.44804,0.951815
741.01,359271092,CP,7.5768334,2.073,289.0,7.66874,10.454,3766.0,4.75957,0.53
7415.01,374177909,FP,0.1638211,0.492,14983.0,14.2981,85.964,3314.0,4.94,0.29
