kepid,kepler_name,koi_period,koi_impact,koi_duration,koi_depth,koi_ror,koi_prad,koi_max_mult_ev,koi_model_snr,koi_num_transits,koi_fwm_stat_sig,koi_eccen,koi_srho,koi_sma,koi_max_sngle_ev,koi_model_chisq
5794379,Kepler-241 c,36.06588163,0.26,4.3246,1563.8,0.035281,2.64,39.547905,51.7,38,0.622,0,3.78452,0.1871,10.347036,
5881688,Kepler-696 b,4.190425659,0.458,2.8589,2877.4,0.050076,6.21,245.59174,240.6,318,0.0,0,1.28404,0.0535,21.389048,
6022556,Kepler-697 b,3.709870784,0.023,3.0694,2020.3,0.040686,4.35,88.43494,116.1,279,0.416,0,1.22579,0.0471,9.246548,
6032497,Kepler-698 b,16.3297527,0.791,6.271,1187.5,0.034822,3.75,63.15734,74.6,85,0.0,0,0.16717,0.1255,10.867014,
6061119,Kepler-699 b,27.807566216,0.782,4.21587,25391.1,0.161479,13.84,739.8864,748.1,50,0.0,0,1.98053,0.1711,184.1626,
6191521,Kepler-700 b,80.8723469,0.527,11.195,3604.6,0.056129,7.59,129.28693,160.9,17,0.403,0,0.37264,0.3577,39.125496,
6267425,,3.166465862,1.266,2.9381,4357.2,0.348902,26.82,126.34083,122.1,320,0.0,0,0.12553,0.0371,17.338335,
3531558,Kepler-467 b,24.99324319,0.686,5.9409,269.6,0.015956,2.29,48.44607,62.0,53,0.001,0,0.42385,0.1651,10.750713,
6276477,Kepler-701 b,10.35533116,0.029,3.1775,750.6,0.024674,2.47,43.478497,49.2,127,0.007,0,2.92779,0.0895,6.973618,
6863998,Kepler-709 b,16.08518937,0.867,3.984,1442.4,0.040767,3.68,56.866776,62.6,82,0.348,0,0.41177,0.1173,11.495781,
6867155,,235.9986399,0.778,8.2284,20714.6,0.14756,10.59,311.33582,271.8,6,0.0,0,2.14449,0.6534,157.44649,
6948054,Kepler-245 b,7.49018305,0.02,2.7297,1123.6,0.029843,2.56,43.14732,53.0,178,0.139,0,3.3941,0.0703,8.483169,
6948054,Kepler-245 d,36.2761238,0.035,4.7865,1572.6,0.035273,3.03,28.587673,45.5,39,0.091,0,3.09103,0.2012,7.9323716,
6948054,Kepler-245 c,17.46087931,0.594,2.2641,812.4,0.026969,2.32,16.755081,22.6,69,0.001,0,7.45729,0.1236,4.671781,
6435936,Kepler-705 b,56.0560754,0.018,4.685,1626,0.036134,1.94,19.2542,27.4,24,0.048,0,5.11354,0.228,6.1299686,
6522242,Kepler-706 b,41.408316686,0.377,5.0264,22838.9,0.139516,11.38,904.6437,907.8,33,0.0,0,3.42177,0.2162,217.32286,
6526710,,39.74893077,0.881,7.3051,15178.9,0.134949,14.21,505.17914,561.1,34,0.0,0,0.31474,0.2311,123.3638,
6587280,Kepler-243 b,5.715425977,0.348,2.5242,908.1,0.027348,2.47,48.613644,59.4,181,0.309,0,2.71439,0.0611,7.166417,
9471974,Kepler-108 b,49.18394185,0.035,11.3364,1646.2,0.036501,8.2,250.00006,355.7,29,0.0,0,0.31666,0.2829,61.598824,
6587280,Kepler-243 c,20.0261412,0.957,1.611,421.2,0.025305,2.28,9.322174,10.7,54,0.175,0,2.00738,0.1409,3.5729597,
6599919,,13.61014819,1.081,2.594,5732.9,0.192842,19.02,209.14677,184.1,101,0.015,0,0.84633,0.1061,36.547604,
6675056,,10.44331991,0.23,2.743,1159.8,0.030416,2.66,48.83681,51.7,127,0.0,0,4.32663,0.0857,10.513627,
6685526,Kepler-707 b,2.237489571,0.128,1.8119,315.8,0.015942,1.41,28.265633,30.7,595,0.022,0,3.26761,0.0325,4.7961717,
6756669,,5.851520671,0.211,3.11058,33003.6,0.166109,14.62,1762.9304,1630.4,178,0.002,0,2.48066,0.0591,192.99095,
6784235,Kepler-708 b,3.167893418,0.026,2.1814,781.2,0.025513,2.62,55.665585,64.8,430,0.683,0,2.78453,0.0426,5.8711963,
6849310,Kepler-244 b,4.311780262,0.196,2.7251,1154,0.030716,3.11,68.72953,86.1,299,0.0,0,1.86883,0.0511,7.6148076,
6849310,Kepler-244 d,20.0504494,0.383,4.556,840.9,0.026569,2.69,29.427977,37.8,64,0.0,0,1.54536,0.1423,6.4205737,
6849310,Kepler-244 c,9.76734503,0.9,1.6585,569.1,0.026407,2.67,17.335663,21.1,122,0.073,0,2.17446,0.0881,3.9681692,
6862328,,119.0207044,0.076,8.1405,7430.5,0.077431,8.98,165.9875,223.5,11,0.0,0,2.31024,0.4582,63.25567,
9471974,Kepler-108 c,190.3200468,0.812,15.284,1141.7,0.034654,7.78,95.55217,139.3,7,0.0,0,0.11866,0.6972,45.91216,
